procID;Korte titel;Volledige titel;Korte beschrijving;Wie;Datum start;Datum eind
proc01;Tussentijdse verkenningen;Tussentijdse verkenningen;;Landelijk team;2023-01-01;2027-12-31
proc02;0. Factsheets inclusief leidraad (LD);0. Factsheets inclusief leidraad (LD);De zoetwaterregio’s en Rijkswaterstaat (RWS) dragen informatie over mogelijke maatregelen aan middels factsheets (stappen 3 en 5). De leidraad ondersteunt bij het invullen van de factsheets. Het volgen van de leidraad zorgt voor meer consistentie in de aangedragen informatie over de mogelijke maatregelen.;Landelijk team;2023-07-01;2024-07-15
proc03;0. Vergelijkingsinstrument (VI);0. Vergelijkingsinstrument DPZW (VI);Het Vergelijkingsinstrument DPZW levert geordende inzichten over het doelbereik en de effecten van verschillende zoetwaterstrategieën en maatregelpakketten. Het instrument zal toegepast worden bij het vergelijken van ontwikkelpaden (stap 9) en maatregelpakketten voor DPZW fase 3 (stap 11). Daarmee ondersteunt het instrument bij bestuurlijke afwegingen in aanloop naar de tweede herijking van de Deltabeslissing Zoetwater en het Deltaplan Zoetwater 2028-2033.;Landelijk team;2023-07-01;2024-06-01
proc04;0. OPK-oefening;0. Oefening ontwikkelpadenkaarten (OPK);Met deze oefening doet het DPZW kennis en ervaring op met het opstellen en gebruiken van ontwikkelpadenkaarten. Deze kennis en ervaring wordt in stap 9 toegepast.;Landelijk team;2023-04-01;2023-12-31
proc05;1. Knelpuntenanalyse (KPA) en werkopgave;1. Landelijke knelpuntenanalyse (KPA) en werkopgave;"""De landelijke knelpuntenanalyse biedt inzicht in:
<ol><li>Het doelgat tussen het DPZW-werkdoel zoals vastgesteld in het BPZ van 5 oktober 2023 en de zoetwaterbeschikbaarheid o.b.v. de nieuwe deltascenario’s (zichtjaren 2050 en 2100).
<li>De belangrijkste oorzaken van de grootste knelpunten.</ol>
Deze inzichten helpen de zoetwaterregio’s en RWS bij het inventariseren van doelmatige maatregelen (stap 3) en bieden sectoren transparantie over mogelijke toekomstige zoetwatertekorten.

Tijdens het uitvoeren van de knelpuntenanalyse is vastgesteld dat een deel van de onderliggende data (de basisprognoses) onvoldoende overeenkomt met het beeld van de huidige praktijk. Daarom is de knelpuntenalyse niet bruikbaar voor het DPZW. Als vervanging zetten we in op het vaststellen van een werkopgave waarbij geen gebruikt wordt gemaakt van de basisprognoses 2024. 

Voor meer informatie, zie product (IPLO).""";Landelijk team;2024-01-01;2025-04-15
proc06;2. SEA nulalternatief (SEA0);2. Sociaaleconomische analyse van het nulalternatief (SEA0);De sociaaleconomische analyse van het nulalternatief biedt inzicht in het maatschappelijk effect van een veranderende zoetwaterbeschikbaarheid bij ongewijzigd zoetwaterbeleid. Een berekening van het nulalternatief is noodzakelijk om te kunnen bepalen of het uitvoeren van het voorkeurspakket een positief effect heeft op de Nederlandse welvaart ten opzichte van niets (aanvullends) doen.;Landelijk team;2024-10-15;2025-09-01
proc07;3. Beschrijving mogelijke maatregelen;3. Beschrijving van mogelijke maatregelen (FS-concept, FS0 en FS1);"""Een overzicht en beschrijving van alle mogelijke zoetwatermaatregelen. De lijst met mogelijke maatregelen moet dermate uitgebreid zijn dat daarmee naar verwachting onder alle deltascenario’s (zichtjaren 2050 en 2100) het DPZW-werkdoel gehaald wordt en omvat daarmee potentieel:
<ol><li>Korte (2028-2039), middellange (2050) en lange (2100 en later) termijn maatregelen; 
<li>Lokale en regionale maatregelen alsmede grotere maatregelen in o.a. het HWS;
<li>Zoetwatermaatregelen waarvoor het DPZW aan zet is én zoetwatermaatregelen waarvoor het DPZW niet aan zet is (bijv. maatregelen t.b.v. een verandering van de afvoerverdeling bij laagwater via het Programma Integraal Riviermanagement); 
<li>Maatregelen uit alle vijf categorieën van de Nationale Omgevingsvisie (NOVI), nl. rekening houden met waterbeschikbaarheid bij de ruimtelijke inrichting en het landgebruik; zuiniger omgaan met water; water beter vasthouden, bergen en opslaan in de bodem en in buffers; water slim verdelen; en (rest)schade accepteren.</ol>""";Regio;2024-01-01;2024-12-31
proc08;4. Peer rev.;4. Peer review lijst van mogelijke maatregelen;Met een peer review wordt de lijst van mogelijke maatregelen verrijkt door gebruik te maken van elkaars kennis en ervaring.;Samen;2024-09-15;2024-11-15
proc09;5. Basisscore korte termijn maatregelen (FS0 en FS1);5. Basisscore op criteria vergelijkingsinstrument DPZW voor korte termijn uitvoeringsmaatregelen (FS2);Ten behoeve van o.a. de latere sociaaleconomische analyse (stappen 7 en 11) dienen alle middels FS0 aangedragen korte termijn uitvoeringsmaatregelen te worden gescoord op de criteria uit het Vergelijkingsinstrument DPZW. De basis hiervoor wordt gelegd door het invullen van factsheet 2 (FS2) op de samenwerkruimte. In stap 6 wordt de informatie in factsheet 2 gevalideerd en verrijkt.;Regio;2024-07-01;2025-06-30
proc10;6. Definitieve score korte termijn maatregelen (FS2);6. Definitieve score op criteria vergelijkingsinstrument DPZW voor korte termijn uitvoeringsmaatregelen (FS3);In deze stap wordt de informatie in factsheet 2 (FS2) gevalideerd (t.b.v. een eerlijke vergelijking van individuele maatregelen) en verrijkt. Dit resulteert in een definitieve score op de criteria uit het Vergelijkingsinstrument DPZW voor alle korte termijn (2028-2039) uitvoeringsmaatregelen. Middels factsheet 3 (FS3) wordt inzicht geboden in welke scores meegenomen worden in de volgende stappen.;Landelijk team;2025-01-01;2025-09-30
proc11;7. SEA individuele maatr. (SEA1);7. Sociaaleconomische analyse van individuele maatregelen (SEA1);De sociaaleconomische analyse van individuele maatregelen biedt inzicht in het maatschappelijk effect van alle middels FS0 aangedragen korte termijn uitvoeringsmaatregelen.;Landelijk team;2025-07-01;2025-12-31
proc12;8. Beleidsaltern. (BA);8. Beleidsalternatieven (BA);"""Het doel van deze stap is tweeledig:
<ol><li>De samenstelling van de beleidsalternatieven biedt de zoetwaterregio’s en Rijkswaterstaat informatie die richting geeft aan het trechteren van de lijst met mogelijke maatregelen naar een voorkeurspakket voor DPZW fase 3 (stap 10). Als een maatregel niet in een van deze maatregelpakketten zit, kunnen er andere redenen zijn om de maatregel alsnog in het voorkeurspakket op te nemen;
<li>Maatregelpakketten samenstellen waartegen het voorkeurspakket in de verplichte SEA afgezet kan worden.</ol>""";Landelijk team;2025-09-15;2026-01-15
proc13;9. Ontwikkelpadenkaarten (OPK);9. Ontwikkelpadenkaarten (OPK) en hoekpunten zoetwaterstrategie;"""Met ontwikkelpadenkaarten worden de consequenties van verschillende langetermijnstrategieën inzichtelijk gemaakt. Het gebruik van ontwikkelpadenkaarten zorgt ervoor dat adaptief deltamanagement een prominente rol speelt in de voorbereiding op de 2de herijking van de Deltabeslissing Zoetwater en het Deltaplan Zoetwater 2028-2033. Met ontwikkelpadenkaarten wordt bij het maken van afwegingen over investeringen op de korte termijn steeds geredeneerd vanuit wat nodig is om Nederland op de middellange- en langetermijn weerbaar te laten zijn tegen zoetwatertekorten.

De ontwikkelpadenkaarten bieden inzicht in:
<ol><li>Het maximale doelbereik van verschillende strategieën.
<li>Met welke strategie, tegen welke kosten, en met welke (sociaal)maatschappelijke effecten en ruimtelijke consequenties de DPZW-doelen gehaald kunnen worden.
<li>Welke maatregelen no-regret zijn (effectief in alle toekomstscenario’s).
<li>Welke keuze tot wanneer uitgesteld kan worden rekening houdend met de doorlooptijd van een maatregel/transitie.</ol>

Daarmee vormen de ontwikkelpadenkaarten belangrijke input voor de 2de herijking van de Deltabeslissing Zoetwater (DPZW-doelen en strategie) en bieden ze de zoetwaterregio’s en Rijkswaterstaat informatie die richting geeft aan het trechteren van de lijst met mogelijke maatregelen naar een voorkeurspakket (stap 10). Tevens worden houtskoolschetsen gemaakt van vier extreme hoekpunten voor de zoetwaterstrategie in 2100 (gericht op beheersen, aanpassen, behouden, of verdelen).""";Landelijk team;2024-05-01;2026-01-15
proc14;10. Trechteren naar voorkeurspakket (VP);10. Maatregelen trechteren naar voorkeurspakket met ontwikkelpadenkaart (VP-concept en VP);Het voorkeursmaatregelpakket voor DPZW fase 3 omvat alle zoetwatermaatregelen waarvoor een zoetwaterregio of RWS een bijdrage uit het Deltafonds vraagt. Het voorkeursmaatregelpakket op de korte termijn moet passen binnen een strategie waarmee Nederland ook op de middellange en lange termijn weerbaar is tegen zoetwatertekorten. Daarom is een onderbouwende ontwikkelpadenkaart onderdeel van deze stap.;Regio;2025-01-15;2026-09-30
proc15;11. SEA maatr. pakketten (SEA2);11. Sociaaleconomische analyse van maatregelpakketten (SEA2);De sociaaleconomische analyse van maatregelpakketten ondersteunt de zoetwaterregio’s en Rijkswaterstaat bij het zo goed mogelijk onderbouwen van het voorkeurspakket voor DPZW fase 3. Deze onderbouwing is vereist ter verantwoording van uitgaven uit het Deltafonds.;Landelijk team;2026-07-01;2026-12-31
